strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
uniform,5,9,radial,Random Forest,0.8,0.8181818181818182,0.9,0.75
uniform,5,9,radial,Neural Net,0.8,0.8,1.0,0.6666666666666666
uniform,5,9,radial,AdaBoost,0.725,0.7027027027027027,1.0,0.5416666666666666
uniform,5,9,radial,Naive Bayes,0.7,0.6666666666666666,1.0,0.5
uniform,5,9,radial,QDA,0.75,0.7368421052631579,1.0,0.5833333333333334
uniform,5,9,linear,Nearest Neighbors,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,9,linear,Linear SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,9,linear,RBF SVM,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,5,9,linear,Gaussian Process,0.925,0.9302325581395349,0.9523809523809523,0.9090909090909091
uniform,5,9,linear,Decision Tree,0.9,0.9,1.0,0.8181818181818182
uniform,5,9,linear,Random Forest,0.875,0.888888888888889,0.8695652173913043,0.9090909090909091
uniform,5,9,linear,Neural Net,0.9,0.9047619047619048,0.95,0.8636363636363636
uniform,5,9,linear,AdaBoost,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,9,linear,Naive Bayes,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,9,linear,QDA,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,10,moon,Nearest Neighbors,0.875,0.888888888888889,0.8333333333333334,0.9523809523809523
uniform,5,10,moon,Linear SVM,0.9,0.9,0.9473684210526315,0.8571428571428571
uniform,5,10,moon,RBF SVM,0.875,0.888888888888889,0.8333333333333334,0.9523809523809523
uniform,5,10,moon,Gaussian Process,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,5,10,moon,Decision Tree,0.875,0.888888888888889,0.8333333333333334,0.9523809523809523
uniform,5,10,moon,Random Forest,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,5,10,moon,Neural Net,0.9,0.9047619047619048,0.9047619047619048,0.9047619047619048
uniform,5,10,moon,AdaBoost,0.875,0.888888888888889,0.8333333333333334,0.9523809523809523
uniform,5,10,moon,Naive Bayes,0.9,0.9047619047619048,0.9047619047619048,0.9047619047619048
uniform,5,10,moon,QDA,0.875,0.8780487804878048,0.9,0.8571428571428571
uniform,5,10,radial,Nearest Neighbors,0.75,0.761904761904762,0.8888888888888888,0.6666666666666666
uniform,5,10,radial,Linear SVM,0.4,0.0,0.0,0.0
uniform,5,10,radial,RBF SVM,0.75,0.75,0.9375,0.625
uniform,5,10,radial,Gaussian Process,0.775,0.7692307692307693,1.0,0.625
uniform,5,10,radial,Decision Tree,0.775,0.7999999999999999,0.8571428571428571,0.75
uniform,5,10,radial,Random Forest,0.775,0.7906976744186046,0.8947368421052632,0.7083333333333334
uniform,5,10,radial,Neural Net,0.85,0.8571428571428571,1.0,0.75
uniform,5,10,radial,AdaBoost,0.775,0.7804878048780487,0.9411764705882353,0.6666666666666666
uniform,5,10,radial,Naive Bayes,0.75,0.7368421052631579,1.0,0.5833333333333334
uniform,5,10,radial,QDA,0.75,0.7368421052631579,1.0,0.5833333333333334
uniform,5,10,linear,Nearest Neighbors,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,10,linear,Linear SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,10,linear,RBF SVM,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,10,linear,Gaussian Process,0.9,0.9090909090909091,0.9090909090909091,0.9090909090909091
uniform,5,10,linear,Decision Tree,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,10,linear,Random Forest,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,10,linear,Neural Net,0.875,0.8837209302325582,0.9047619047619048,0.8636363636363636
uniform,5,10,linear,AdaBoost,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,5,10,linear,Naive Bayes,0.95,0.9523809523809523,1.0,0.9090909090909091
uniform,5,10,linear,QDA,0.925,0.9268292682926829,1.0,0.8636363636363636
uniform,6,5,moon,Nearest Neighbors,0.925,0.9268292682926829,0.95,0.9047619047619048
uniform,6,5,moon,Linear SVM,0.85,0.8571428571428571,0.8571428571428571,0.8571428571428571
uniform,6,5,moon,RBF SVM,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,5,moon,Gaussian Process,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,5,moon,Decision Tree,0.95,0.9523809523809523,0.9523809523809523,0.9523809523809523
uniform,6,5,moon,Random Forest,0.9,0.9,0.9473684210526315,0.8571428571428571
