strategy,bins_1,bins_2,dataset,classifier,accuracy_score,f1_score,precision_score,recall_score
uniform,10,6,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,10,6,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,10,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,7,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,10,7,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,10,7,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
uniform,10,7,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
uniform,10,7,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,10,7,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,10,8,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,8,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,10,8,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
uniform,10,8,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
uniform,10,8,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,10,8,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
uniform,10,8,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
uniform,10,8,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,10,8,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,10,9,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,9,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,9,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
uniform,10,9,linear,Nearest Neighbors,0.95,0.9523809524,1,0.9090909091
uniform,10,9,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,10,9,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
uniform,10,9,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
uniform,10,9,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
uniform,10,9,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,10,9,linear,QDA,0.95,0.9523809524,1,0.9090909091
uniform,10,10,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
uniform,10,10,linear,Naive Bayes,0.95,0.9523809524,1,0.9090909091
uniform,10,10,linear,QDA,0.95,0.9523809524,1,0.9090909091
quantile,5,5,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,5,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,5,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,5,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,5,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,8,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,8,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,8,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,9,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,10,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,5,10,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,5,moon,Nearest Neighbors,0.95,0.9545454545,0.9130434783,1
quantile,6,5,moon,Gaussian Process,0.95,0.9545454545,0.9130434783,1
quantile,6,5,moon,Decision Tree,0.95,0.9545454545,0.9130434783,1
quantile,6,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,7,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,8,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,8,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,8,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,8,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,8,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,9,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,9,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,10,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,6,10,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,5,moon,Nearest Neighbors,0.95,0.9545454545,0.9130434783,1
quantile,7,5,moon,RBF SVM,0.95,0.9545454545,0.9130434783,1
quantile,7,5,moon,Gaussian Process,0.95,0.9545454545,0.9130434783,1
quantile,7,5,moon,Decision Tree,0.95,0.9545454545,0.9130434783,1
quantile,7,5,moon,Random Forest,0.95,0.9545454545,0.9130434783,1
quantile,7,5,moon,AdaBoost,0.95,0.9545454545,0.9130434783,1
quantile,7,5,linear,RBF SVM,0.95,0.9523809524,1,0.9090909091
quantile,7,5,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,7,5,linear,Decision Tree,0.95,0.9523809524,1,0.9090909091
quantile,7,5,linear,Random Forest,0.95,0.9523809524,1,0.9090909091
quantile,7,5,linear,AdaBoost,0.95,0.9523809524,1,0.9090909091
quantile,7,6,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
quantile,7,6,linear,RBF SVM,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,7,6,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,7,6,linear,Decision Tree,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,7,6,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
quantile,7,6,linear,QDA,0.95,0.9523809524,1,0.9090909091
quantile,7,7,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,7,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,7,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
quantile,7,7,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,7,7,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
quantile,7,7,linear,QDA,0.95,0.9523809524,1,0.9090909091
quantile,7,8,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,8,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
quantile,7,8,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,7,9,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,9,moon,Random Forest,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,9,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
quantile,7,9,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,7,9,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
quantile,7,9,linear,QDA,0.95,0.9523809524,1,0.9090909091
quantile,7,10,moon,Nearest Neighbors,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,10,moon,RBF SVM,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,10,moon,Gaussian Process,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,10,moon,Decision Tree,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,10,moon,AdaBoost,0.95,0.9523809524,0.9523809524,0.9523809524
quantile,7,10,linear,Linear SVM,0.95,0.9523809524,1,0.9090909091
quantile,7,10,linear,RBF SVM,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,7,10,linear,Gaussian Process,0.95,0.9523809524,1,0.9090909091
quantile,7,10,linear,Decision Tree,0.95,0.9545454545,0.9545454545,0.9545454545
quantile,7,10,linear,Neural Net,0.95,0.9523809524,1,0.9090909091
